date,city_code ,temp_mean,temp_max,temp_min,hdd,dew_point,humidity_avg,humidity_max,humidity_min, precipitation, sea_level_pressure,wind_speed_avg,wind_speed_max, visibility, events
1/1/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
1/2/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
1/3/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.06,N/A,N/A,N/A,N/A,N/A
1/4/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.37,N/A,N/A,N/A,N/A,N/A
1/5/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.07,N/A,N/A,N/A,N/A,N/A
1/6/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,29.79,N/A,10,6,Fog Rain
1/7/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,29.77,N/A,4,1,Fog Rain
1/8/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
1/9/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.16,N/A,N/A,N/A,N/A,N/A
1/10/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,29.6,N/A,0,6,Fog
1/11/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
1/12/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
1/13/77,KFTY,N/A,30,30,,12,47,47,47,0,30.39,N/A,0,10,
1/14/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
1/15/77,KFTY,N/A,37,37,,33,86,86,86,0,29.87,N/A,6,5,Fog
1/16/77,KFTY,N/A,30,30,,24,79,79,79,0,30.13,N/A,17,10,
1/17/77,KFTY,20,20,20,45,7,57,62,52,0,30.09,N/A,6,7,
1/18/77,KFTY,20,20,14,45,6,60,64,57,0,29.96,N/A,14,12,
1/19/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,30.02,N/A,16,7,
1/20/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
1/21/77,KFTY,N/A,28,28,,18,66,66,66,0,30.17,N/A,12,20,
